Date,Open,High,Low,Close,Volume,Adj Close
2014-02-27,1218.39,1224.23,1217.01,1219.21,1260000,1219.21
2014-02-26,1224.00,1228.88,1213.76,1220.17,1982200,1220.17
2014-02-25,1215.94,1224.50,1210.42,1220.00,1438700,1220.00
2014-02-24,1205.36,1220.16,1205.10,1212.51,1674300,1212.51
2014-02-21,1207.81,1209.87,1202.84,1203.79,1862300,1203.79
2014-02-20,1203.14,1206.89,1200.22,1204.11,1700800,1204.11
2014-02-19,1205.30,1209.22,1197.50,1202.34,2103600,1202.34
2014-02-18,1201.41,1212.87,1200.00,1210.88,2108900,1210.88
2014-02-14,1195.61,1204.39,1192.80,1202.80,2186700,1202.80
2014-02-13,1180.75,1199.90,1179.66,1199.90,1836400,1199.90
2014-02-12,1189.00,1190.00,1181.38,1186.69,1724500,1186.69
2014-02-11,1180.17,1191.87,1172.21,1190.18,2050800,1190.18
2014-02-10,1171.80,1182.40,1169.02,1172.93,1945200,1172.93
2014-02-07,1167.63,1177.90,1160.56,1177.44,2636200,1177.44
2014-02-06,1151.13,1160.16,1147.55,1159.96,1946600,1159.96
2014-02-05,1143.38,1150.77,1128.02,1143.20,2394500,1143.20
2014-02-04,1137.99,1155.00,1137.01,1138.16,2811900,1138.16
2014-02-03,1179.20,1181.72,1132.01,1133.43,4569100,1133.43
2014-01-31,1171.35,1186.54,1151.13,1180.97,5566300,1180.97
2014-01-30,1145.00,1152.49,1127.25,1135.39,5091400,1135.39
2014-01-29,1119.12,1121.75,1099.42,1106.92,2379900,1106.92
2014-01-28,1110.32,1125.75,1109.94,1123.01,2210200,1123.01
2014-01-27,1126.10,1126.50,1082.27,1101.23,4353600,1101.23
2014-01-24,1151.01,1153.55,1123.00,1123.83,3892500,1123.83
2014-01-23,1160.00,1162.49,1154.37,1160.10,1949100,1160.10
2014-01-22,1166.61,1167.89,1158.86,1165.02,1571400,1165.02
2014-01-21,1160.93,1164.00,1151.30,1163.70,1979900,1163.70
2014-01-17,1156.85,1160.63,1144.20,1150.53,2701300,1150.53
2014-01-16,1149.10,1157.93,1148.00,1156.22,1683900,1156.22
2014-01-15,1152.99,1155.00,1143.79,1148.62,1950200,1148.62
2014-01-14,1137.95,1151.00,1128.09,1149.40,2482600,1149.40
2014-01-13,1126.47,1146.91,1117.17,1122.98,2418900,1122.98
2014-01-10,1139.08,1139.08,1122.25,1130.18,2143500,1130.18
2014-01-09,1143.44,1144.22,1125.56,1130.24,2084500,1130.24
2014-01-08,1146.00,1147.32,1133.29,1141.23,2242500,1141.23
2014-01-07,1125.00,1139.69,1121.16,1138.86,2552600,1138.86
2014-01-06,1113.01,1118.86,1106.44,1117.32,1769300,1117.32
2014-01-03,1115.00,1116.93,1104.93,1105.00,1666700,1105.00
2014-01-02,1115.46,1117.75,1108.26,1113.12,1821400,1113.12
